L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/10/2021 - 22:10:26: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_maxunlag = 1 .
L 01/10/2021 - 22:10:27: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_maxunlag = 1.5 .
L 01/10/2021 - 22:27:12: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 0 .
L 01/10/2021 - 22:27:14: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 1 .
L 01/10/2021 - 22:27:16: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 0 .
L 01/10/2021 - 22:27:16: [OFFICIAL] ADMIN TRENd seteaza cvar sv_unlag = 1 .
L 01/10/2021 - 23:09:00: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/10/2021 - 23:09:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/10/2021 - 23:09:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/10/2021 - 23:09:03: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/10/2021 - 23:09:16: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/10/2021 - 23:11:51: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_restart = 3 .
L 01/11/2021 - 12:08:53: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 12:08:55: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/11/2021 - 13:02:50: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_restart = 3 .
L 01/11/2021 - 13:02:51: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_restart = 3 .
L 01/11/2021 - 13:02:56: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 25 .
L 01/11/2021 - 13:02:58: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 13:02:59: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 0 .
L 01/11/2021 - 13:03:14: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 13:03:16: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 13:03:24: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/11/2021 - 13:03:24: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/11/2021 - 13:03:25: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/11/2021 - 13:03:25: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/11/2021 - 13:03:25: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/11/2021 - 13:03:26: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
